区分,薬価基準収載医薬品コード,成分名,規格,,,,品名,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考
内用薬,1179041F3150,パロキセチン塩酸塩水和物,５ｍｇ１錠,局,,,パロキセチン錠５ｍｇ「サワイ」,沢井製薬,後発品,,,12.60 ,,
内用薬,1179041F3168,パロキセチン塩酸塩水和物,５ｍｇ１錠,局,,,パロキセチン錠５ｍｇ「サンド」,サンド,後発品,,,12.60 ,,
内用薬,1179041F3176,パロキセチン塩酸塩水和物,５ｍｇ１錠,局,,,パロキセチン錠５ｍｇ「タカタ」,高田製薬,後発品,,,12.60 ,,
内用薬,1179041F3184,パロキセチン塩酸塩水和物,５ｍｇ１錠,局,,,パロキセチン錠５ｍｇ「タナベ」,ニプロＥＳファーマ,後発品,,,12.60 ,,
内用薬,1179041F3192,パロキセチン塩酸塩水和物,５ｍｇ１錠,局,,,パロキセチン錠５ｍｇ「トーワ」,東和薬品,後発品,,,12.60 ,,
内用薬,1179041F3206,パロキセチン塩酸塩水和物,５ｍｇ１錠,局,,,パロキセチン錠５ｍｇ「日医工」,日医工,後発品,,,12.60 ,,
内用薬,1179041F3214,パロキセチン塩酸塩水和物,５ｍｇ１錠,局,,,パロキセチン錠５ｍｇ「日新」,日新製薬（山形）,後発品,,,12.60 ,,
内用薬,1179041F3222,パロキセチン塩酸塩水和物,５ｍｇ１錠,局,,,パロキセチン錠５ｍｇ「ファイザー」,マイランＥＰＤ,後発品,,,12.60 ,R5.3.31まで,
内用薬,1179041F3230,パロキセチン塩酸塩水和物,５ｍｇ１錠,局,,,パロキセチン錠５ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,12.60 ,,
内用薬,1179041F3257,パロキセチン塩酸塩水和物,５ｍｇ１錠,局,,,パロキセチン錠５ｍｇ「科研」,ダイト,後発品,,,12.60 ,,
内用薬,1179041F3265,パロキセチン塩酸塩水和物,５ｍｇ１錠,局,,,パロキセチン錠５ｍｇ「ＥＥ」,エルメッド,後発品,,,12.60 ,R5.3.31まで,
内用薬,1179041F3290,パロキセチン塩酸塩水和物,５ｍｇ１錠,局,,,パロキセチン錠５ｍｇ「オーハラ」,大原薬品工業,後発品,,,12.60 ,,
内用薬,1179041F3311,パロキセチン塩酸塩水和物,５ｍｇ１錠,局,,,パロキセチン錠５ｍｇ「テバ」,武田テバファーマ,後発品,,,12.60 ,,
内用薬,1179041F3362,パロキセチン塩酸塩水和物,５ｍｇ１錠,局,,,パロキセチン錠５ｍｇ「ＶＴＲＳ」,マイランＥＰＤ,後発品,,,12.60 ,,R4.6.17収載
内用薬,1179041F4024,パロキセチン塩酸塩水和物,１０ｍｇ１錠,,,,パロキセチンＯＤ錠１０ｍｇ「トーワ」,東和薬品,後発品,,,20.20 ,,
内用薬,1179041F5020,パロキセチン塩酸塩水和物,２０ｍｇ１錠,,,,パロキセチンＯＤ錠２０ｍｇ「トーワ」,東和薬品,後発品,,,36.50 ,,
内用薬,1179041F6027,パロキセチン塩酸塩水和物,５ｍｇ１錠,,,,パロキセチンＯＤ錠５ｍｇ「トーワ」,東和薬品,後発品,,,12.60 ,,
内用薬,1179041G1020,パロキセチン塩酸塩水和物,１２．５ｍｇ１錠,,,,パキシルＣＲ錠１２．５ｍｇ,グラクソ・スミスクライン,,先発品,,57.70 ,,
内用薬,1179041G2027,パロキセチン塩酸塩水和物,２５ｍｇ１錠,,,,パキシルＣＲ錠２５ｍｇ,グラクソ・スミスクライン,,先発品,,99.80 ,,
内用薬,1179041G3023,パロキセチン塩酸塩水和物,６．２５ｍｇ１錠,,,,パキシルＣＲ錠６．２５ｍｇ,グラクソ・スミスクライン,,先発品,,32.70 ,,
内用薬,1179042C1023,クエチアピンフマル酸塩,５０％１ｇ,局,,,セロクエル細粒５０％,アステラス製薬,,先発品,○,387.50 ,,
内用薬,1179042C1031,クエチアピンフマル酸塩,５０％１ｇ,局,,,クエチアピン細粒５０％「ＥＥ」,高田製薬,後発品,,,155.00 ,R5.3.31まで,
内用薬,1179042C1040,クエチアピンフマル酸塩,５０％１ｇ,局,,,クエチアピン細粒５０％「アメル」,共和薬品工業,後発品,,,155.00 ,,
内用薬,1179042C1058,クエチアピンフマル酸塩,５０％１ｇ,局,,,クエチアピン細粒５０％「サワイ」,沢井製薬,後発品,,,155.00 ,,
内用薬,1179042C1066,クエチアピンフマル酸塩,５０％１ｇ,局,,,クエチアピン細粒５０％「三和」,シオノケミカル,後発品,,,155.00 ,,
内用薬,1179042C1074,クエチアピンフマル酸塩,５０％１ｇ,局,,,クエチアピン細粒５０％「テバ」,日医工岐阜工場,後発品,,,155.00 ,R5.3.31まで,
内用薬,1179042C1082,クエチアピンフマル酸塩,５０％１ｇ,局,,,クエチアピン細粒５０％「トーワ」,東和薬品,後発品,,,155.00 ,,
内用薬,1179042C1090,クエチアピンフマル酸塩,５０％１ｇ,局,,,クエチアピン細粒５０％「ヨシトミ」,ニプロＥＳファーマ,後発品,,,155.00 ,,
内用薬,1179042C1104,クエチアピンフマル酸塩,５０％１ｇ,局,,,クエチアピン細粒５０％「ＭＥＥＫ」,小林化工,後発品,,,155.00 ,R5.3.31まで,
内用薬,1179042C1112,クエチアピンフマル酸塩,５０％１ｇ,局,,,クエチアピン細粒５０％「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,155.00 ,R5.3.31まで,
内用薬,1179042C1120,クエチアピンフマル酸塩,５０％１ｇ,局,,,クエチアピン細粒５０％「ＮＩＧ」,日医工岐阜工場,後発品,,,155.00 ,,R4.5.25収載
内用薬,1179042C1139,クエチアピンフマル酸塩,５０％１ｇ,局,,,クエチアピン細粒５０％「タカタ」,高田製薬,後発品,,,155.00 ,,R4.6.17収載
内用薬,1179042C2020,クエチアピンフマル酸塩,１０％１ｇ,局,,,クエチアピン細粒１０％「アメル」,共和薬品工業,後発品,,,40.40 ,,
内用薬,1179042F1011,クエチアピンフマル酸塩,２５ｍｇ１錠,,,,クエチアピンフマル酸塩２５ｍｇ錠,,後発品,,,10.10 ,,
内用薬,1179042F1020,クエチアピンフマル酸塩,２５ｍｇ１錠,局,,,セロクエル２５ｍｇ錠,アステラス製薬,,先発品,○,25.10 ,,
内用薬,1179042F2018,クエチアピンフマル酸塩,１００ｍｇ１錠,,,,クエチアピンフマル酸塩１００ｍｇ錠,,後発品,,,21.80 ,,
内用薬,1179042F2026,クエチアピンフマル酸塩,１００ｍｇ１錠,局,,,セロクエル１００ｍｇ錠,アステラス製薬,,先発品,○,63.10 ,,
内用薬,1179042F2042,クエチアピンフマル酸塩,１００ｍｇ１錠,局,,,クエチアピン錠１００ｍｇ「ＤＳＥＰ」,第一三共エスファ,後発品,,,28.90 ,,
内用薬,1179042F2050,クエチアピンフマル酸塩,１００ｍｇ１錠,局,,,クエチアピン錠１００ｍｇ「ＥＥ」,高田製薬,後発品,,,28.90 ,R5.3.31まで,
内用薬,1179042F2069,クエチアピンフマル酸塩,１００ｍｇ１錠,局,,,クエチアピン錠１００ｍｇ「ＦＦＰ」,共創未来ファーマ,後発品,,,28.90 ,,
内用薬,1179042F2077,クエチアピンフマル酸塩,１００ｍｇ１錠,局,,,クエチアピン錠１００ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,33.60 ,,
内用薬,1179042F2115,クエチアピンフマル酸塩,１００ｍｇ１錠,局,,,クエチアピン錠１００ｍｇ「サワイ」,沢井製薬,後発品,,,28.90 ,,
内用薬,1179042F2131,クエチアピンフマル酸塩,１００ｍｇ１錠,局,,,クエチアピン錠１００ｍｇ「三和」,シオノケミカル,後発品,,,28.90 ,,
内用薬,1179042F2174,クエチアピンフマル酸塩,１００ｍｇ１錠,局,,,クエチアピン錠１００ｍｇ「日新」,日新製薬（山形）,後発品,,,28.90 ,,
内用薬,1179042F2190,クエチアピンフマル酸塩,１００ｍｇ１錠,局,,,クエチアピン錠１００ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,28.90 ,,
内用薬,1179042F2204,クエチアピンフマル酸塩,１００ｍｇ１錠,局,,,クエチアピン錠１００ｍｇ「ヨシトミ」,ニプロＥＳファーマ,後発品,,,28.90 ,,
内用薬,1179042F2212,クエチアピンフマル酸塩,１００ｍｇ１錠,局,,,クエチアピン錠１００ｍｇ「タカタ」,高田製薬,後発品,,,28.90 ,,R4.6.17収載
内用薬,1179042F3014,クエチアピンフマル酸塩,２００ｍｇ１錠,,,,クエチアピンフマル酸塩２００ｍｇ錠,,後発品,,,37.50 ,,
内用薬,1179042F3022,クエチアピンフマル酸塩,２００ｍｇ１錠,局,,,セロクエル２００ｍｇ錠,アステラス製薬,,先発品,○,114.00 ,,
内用薬,1179042F3049,クエチアピンフマル酸塩,２００ｍｇ１錠,局,,,クエチアピン錠２００ｍｇ「ＤＳＥＰ」,第一三共エスファ,後発品,,,53.60 ,,
内用薬,1179042F3057,クエチアピンフマル酸塩,２００ｍｇ１錠,局,,,クエチアピン錠２００ｍｇ「ＥＥ」,高田製薬,後発品,,,53.60 ,R5.3.31まで,
内用薬,1179042F3073,クエチアピンフマル酸塩,２００ｍｇ１錠,局,,,クエチアピン錠２００ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,63.20 ,,
内用薬,1179042F3081,クエチアピンフマル酸塩,２００ｍｇ１錠,局,,,クエチアピン錠２００ｍｇ「ＭＥＥＫ」,小林化工,後発品,,,53.60 ,R5.3.31まで,
内用薬,1179042F3111,クエチアピンフマル酸塩,２００ｍｇ１錠,局,,,クエチアピン錠２００ｍｇ「サワイ」,沢井製薬,後発品,,,53.60 ,,
内用薬,1179042F3138,クエチアピンフマル酸塩,２００ｍｇ１錠,局,,,クエチアピン錠２００ｍｇ「三和」,シオノケミカル,後発品,,,53.60 ,,
内用薬,1179042F3154,クエチアピンフマル酸塩,２００ｍｇ１錠,局,,,クエチアピン錠２００ｍｇ「トーワ」,東和薬品,後発品,,,53.60 ,,
内用薬,1179042F3170,クエチアピンフマル酸塩,２００ｍｇ１錠,局,,,クエチアピン錠２００ｍｇ「日新」,日新製薬（山形）,後発品,,,53.60 ,,
内用薬,1179042F3197,クエチアピンフマル酸塩,２００ｍｇ１錠,局,,,クエチアピン錠２００ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,53.60 ,,
内用薬,1179042F3200,クエチアピンフマル酸塩,２００ｍｇ１錠,局,,,クエチアピン錠２００ｍｇ「ヨシトミ」,ニプロＥＳファーマ,後発品,,,53.60 ,,
内用薬,1179042F3219,クエチアピンフマル酸塩,２００ｍｇ１錠,局,,,クエチアピン錠２００ｍｇ「タカタ」,高田製薬,後発品,,,53.60 ,,R4.6.17収載
内用薬,1179042F4010,クエチアピンフマル酸塩,１２．５ｍｇ１錠,,,,クエチアピンフマル酸塩１２．５ｍｇ錠,,後発品,,,10.10 ,,
内用薬,1179042F5025,クエチアピンフマル酸塩,５０ｍｇ１錠,局,,,クエチアピン錠５０ｍｇ「ＥＥ」,高田製薬,後発品,,,15.50 ,R5.3.31まで,
内用薬,1179042F5033,クエチアピンフマル酸塩,５０ｍｇ１錠,局,,,クエチアピン錠５０ｍｇ「サワイ」,沢井製薬,後発品,,,15.50 ,,
内用薬,1179042F5041,クエチアピンフマル酸塩,５０ｍｇ１錠,局,,,クエチアピン錠５０ｍｇ「アメル」,共和薬品工業,後発品,,,15.50 ,,
内用薬,1179042F5050,クエチアピンフマル酸塩,５０ｍｇ１錠,局,,,クエチアピン錠５０ｍｇ「ＭＥＥＫ」,小林化工,後発品,,,15.50 ,R5.3.31まで,
内用薬,1179042F5068,クエチアピンフマル酸塩,５０ｍｇ１錠,局,,,クエチアピン錠５０ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,15.50 ,,
内用薬,1179042F5076,クエチアピンフマル酸塩,５０ｍｇ１錠,局,,,クエチアピン錠５０ｍｇ「タカタ」,高田製薬,後発品,,,15.50 ,,R4.6.17収載
内用薬,1179042G1025,クエチアピンフマル酸塩,５０ｍｇ１錠,,,,ビプレッソ徐放錠５０ｍｇ,アステラス製薬,,先発品,,60.10 ,,
内用薬,1179042G2021,クエチアピンフマル酸塩,１５０ｍｇ１錠,,,,ビプレッソ徐放錠１５０ｍｇ,アステラス製薬,,先発品,,159.70 ,,
内用薬,1179043F1032,ペロスピロン塩酸塩水和物,４ｍｇ１錠,,,,ルーラン錠４ｍｇ,住友ファーマ,,先発品,○,13.00 ,,
内用薬,1179043F1040,ペロスピロン塩酸塩水和物,４ｍｇ１錠,,,,ペロスピロン塩酸塩錠４ｍｇ「アメル」,共和薬品工業,後発品,,,6.80 ,,
内用薬,1179043F2039,ペロスピロン塩酸塩水和物,８ｍｇ１錠,,,,ルーラン錠８ｍｇ,住友ファーマ,,先発品,○,24.60 ,,
内用薬,1179043F2047,ペロスピロン塩酸塩水和物,８ｍｇ１錠,,,,ペロスピロン塩酸塩錠８ｍｇ「アメル」,共和薬品工業,後発品,,,13.00 ,,
内用薬,1179043F3027,ペロスピロン塩酸塩水和物,１６ｍｇ１錠,,,,ルーラン錠１６ｍｇ,住友ファーマ,,先発品,○,43.90 ,,
内用薬,1179043F3035,ペロスピロン塩酸塩水和物,１６ｍｇ１錠,,,,ペロスピロン塩酸塩錠１６ｍｇ「アメル」,共和薬品工業,後発品,,,22.10 ,,
内用薬,1179044C1014,オランザピン,１％１ｇ,,,,オランザピン１％細粒,,後発品,,,49.80 ,,
内用薬,1179044C1022,オランザピン,１％１ｇ,,,,ジプレキサ細粒１％,日本イーライリリー,,先発品,○,247.10 ,,
内用薬,1179044C1073,オランザピン,１％１ｇ,,,,オランザピン細粒１％「トーワ」,東和薬品,後発品,,,79.30 ,,
内用薬,1179044C1111,オランザピン,１％１ｇ,,,,オランザピン細粒１％「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,79.30 ,,
内用薬,1179044C1120,オランザピン,１％１ｇ,,,,オランザピン細粒１％「ヨシトミ」,ニプロＥＳファーマ,後発品,,,79.30 ,,
内用薬,1179044C1146,オランザピン,１％１ｇ,,,,オランザピン細粒１％「タカタ」,高田製薬,後発品,,,79.30 ,,
内用薬,1179044F1010,オランザピン,２．５ｍｇ１錠,,,,オランザピン２．５ｍｇ錠,,後発品,,,11.40 ,,
内用薬,1179044F1029,オランザピン,２．５ｍｇ１錠,,,,ジプレキサ錠２．５ｍｇ,日本イーライリリー,,先発品,○,69.50 ,,
内用薬,1179044F1126,オランザピン,２．５ｍｇ１錠,,,,オランザピン錠２．５ｍｇ「三和」,三和化学研究所,後発品,,,21.30 ,,
内用薬,1179044F1142,オランザピン,２．５ｍｇ１錠,,,,オランザピン錠２．５ｍｇ「トーワ」,東和薬品,後発品,,,21.30 ,,
内用薬,1179044F1193,オランザピン,２．５ｍｇ１錠,,,,オランザピン錠２．５ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,21.30 ,,
内用薬,1179044F2017,オランザピン,５ｍｇ１錠,,,,オランザピン５ｍｇ錠,,後発品,,,24.10 ,,
内用薬,1179044F2025,オランザピン,５ｍｇ１錠,,,,ジプレキサ錠５ｍｇ,日本イーライリリー,,先発品,○,132.50 ,,
内用薬,1179044F3013,オランザピン,１０ｍｇ１錠,,,,オランザピン１０ｍｇ錠,,後発品,,,42.00 ,,
内用薬,1179044F3021,オランザピン,１０ｍｇ１錠,,,,ジプレキサ錠１０ｍｇ,日本イーライリリー,,先発品,○,255.70 ,,
内用薬,1179044F3196,オランザピン,１０ｍｇ１錠,,,,オランザピン錠１０ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,78.10 ,,
内用薬,1179044F4010,オランザピン,５ｍｇ１錠,,,,オランザピン５ｍｇ口腔内崩壊錠,,後発品,,,24.10 ,,
内用薬,1179044F4028,オランザピン,５ｍｇ１錠,,,,ジプレキサザイディス錠５ｍｇ,日本イーライリリー,,先発品,○,132.50 ,,
内用薬,1179044F5016,オランザピン,１０ｍｇ１錠,,,,オランザピン１０ｍｇ口腔内崩壊錠,,後発品,,,42.00 ,,
内用薬,1179044F5024,オランザピン,１０ｍｇ１錠,,,,ジプレキサザイディス錠１０ｍｇ,日本イーライリリー,,先発品,○,255.70 ,,
内用薬,1179044F6012,オランザピン,２．５ｍｇ１錠,,,,オランザピン２．５ｍｇ口腔内崩壊錠,,後発品,,,11.40 ,,
内用薬,1179044F6020,オランザピン,２．５ｍｇ１錠,,,,ジプレキサザイディス錠２．５ｍｇ,日本イーライリリー,,先発品,○,69.50 ,,
内用薬,1179044F6128,オランザピン,２．５ｍｇ１錠,,,,オランザピンＯＤ錠２．５ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,21.30 ,,
内用薬,1179044F7027,オランザピン,１．２５ｍｇ１錠,,,,オランザピン錠１．２５ｍｇ「アメル」,共和薬品工業,後発品,,,7.20 ,,
内用薬,1179044F8023,オランザピン,２０ｍｇ１錠,,,,オランザピン錠２０ｍｇ「ＥＥ」,エルメッド,後発品,,,59.60 ,R5.3.31まで,
内用薬,1179044F8031,オランザピン,２０ｍｇ１錠,,,,オランザピン錠２０ｍｇ「ＫＮ」,小林化工,後発品,,,59.60 ,R5.3.31まで,
内用薬,1179044F8040,オランザピン,２０ｍｇ１錠,,,,オランザピン錠２０ｍｇ「アメル」,共和薬品工業,後発品,,,59.60 ,,
内用薬,1179044F9020,オランザピン,１．２５ｍｇ１錠,,,,オランザピンＯＤ錠１．２５ｍｇ「アメル」,共和薬品工業,後発品,,,7.20 ,,
内用薬,1179045B1013,アリピプラゾール,１％１ｇ,,,,アリピプラゾール１％散,,後発品,,,23.10 ,,
内用薬,1179045B1021,アリピプラゾール,１％１ｇ,,,,エビリファイ散１％,大塚製薬,,先発品,○,102.30 ,,
内用薬,1179045B1048,アリピプラゾール,１％１ｇ,,,,アリピプラゾール散１％「オーハラ」,大原薬品工業,後発品,,,32.90 ,,
内用薬,1179045B1056,アリピプラゾール,１％１ｇ,,,,アリピプラゾール散１％「トーワ」,東和薬品,後発品,,,32.90 ,,
内用薬,1179045B1080,アリピプラゾール,１％１ｇ,,,,アリピプラゾール散１％「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,32.90 ,,
内用薬,1179045C1019,アリピプラゾール,１％１ｇ,,,,アリピプラゾール１％細粒,,後発品,,,23.10 ,,
内用薬,1179045F1015,アリピプラゾール,３ｍｇ１錠,,,,アリピプラゾール３ｍｇ錠,,後発品,,,8.20 ,,
内用薬,1179045F1023,アリピプラゾール,３ｍｇ１錠,,,,エビリファイ錠３ｍｇ,大塚製薬,,先発品,○,50.00 ,,
内用薬,1179045F1031,アリピプラゾール,３ｍｇ１錠,,,,アリピプラゾール錠３ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,16.10 ,,
内用薬,1179045F1120,アリピプラゾール,３ｍｇ１錠,,,,アリピプラゾール錠３ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,16.10 ,,
内用薬,1179045F2011,アリピプラゾール,６ｍｇ１錠,,,,アリピプラゾール６ｍｇ錠,,後発品,,,15.00 ,,
内用薬,1179045F2020,アリピプラゾール,６ｍｇ１錠,,,,エビリファイ錠６ｍｇ,大塚製薬,,先発品,○,95.50 ,,
内用薬,1179045F2038,アリピプラゾール,６ｍｇ１錠,,,,アリピプラゾール錠６ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,30.90 ,,
内用薬,1179045F2089,アリピプラゾール,６ｍｇ１錠,,,,アリピプラゾール錠６ｍｇ「タカタ」,高田製薬,後発品,,,30.90 ,,
内用薬,1179045F2127,アリピプラゾール,６ｍｇ１錠,,,,アリピプラゾール錠６ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,30.90 ,,
内用薬,1179045F3018,アリピプラゾール,１２ｍｇ１錠,,,,アリピプラゾール１２ｍｇ錠,,後発品,,,28.80 ,,
内用薬,1179045F3026,アリピプラゾール,１２ｍｇ１錠,,,,エビリファイ錠１２ｍｇ,大塚製薬,,先発品,○,179.10 ,,
内用薬,1179045F3123,アリピプラゾール,１２ｍｇ１錠,,,,アリピプラゾール錠１２ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,59.20 ,,
内用薬,1179045F4014,アリピプラゾール,３ｍｇ１錠,,,,アリピプラゾール３ｍｇ口腔内崩壊錠,,後発品,,,8.20 ,,
内用薬,1179045F4022,アリピプラゾール,３ｍｇ１錠,,,,エビリファイＯＤ錠３ｍｇ,大塚製薬,,先発品,○,50.00 ,,
内用薬,1179045F4030,アリピプラゾール,３ｍｇ１錠,,,,アリピプラゾールＯＤ錠３ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,16.10 ,,
内用薬,1179045F4120,アリピプラゾール,３ｍｇ１錠,,,,アリピプラゾールＯＤ錠３ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,16.10 ,,
内用薬,1179045F5010,アリピプラゾール,６ｍｇ１錠,,,,アリピプラゾール６ｍｇ口腔内崩壊錠,,後発品,,,15.00 ,,
内用薬,1179045F5029,アリピプラゾール,６ｍｇ１錠,,,,エビリファイＯＤ錠６ｍｇ,大塚製薬,,先発品,○,95.50 ,,
内用薬,1179045F5037,アリピプラゾール,６ｍｇ１錠,,,,アリピプラゾールＯＤ錠６ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,30.90 ,,
内用薬,1179045F5126,アリピプラゾール,６ｍｇ１錠,,,,アリピプラゾールＯＤ錠６ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,30.90 ,,
内用薬,1179045F6017,アリピプラゾール,１２ｍｇ１錠,,,,アリピプラゾール１２ｍｇ口腔内崩壊錠,,後発品,,,28.80 ,,
内用薬,1179045F6025,アリピプラゾール,１２ｍｇ１錠,,,,エビリファイＯＤ錠１２ｍｇ,大塚製薬,,先発品,○,179.10 ,,
内用薬,1179045F6033,アリピプラゾール,１２ｍｇ１錠,,,,アリピプラゾールＯＤ錠１２ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,59.20 ,,
内用薬,1179045F6122,アリピプラゾール,１２ｍｇ１錠,,,,アリピプラゾールＯＤ錠１２ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,59.20 ,,
内用薬,1179045F7013,アリピプラゾール,２４ｍｇ１錠,,,,アリピプラゾール２４ｍｇ口腔内崩壊錠,,後発品,,,59.60 ,,
内用薬,1179045F7021,アリピプラゾール,２４ｍｇ１錠,,,,エビリファイＯＤ錠２４ｍｇ,大塚製薬,,先発品,○,371.30 ,,
内用薬,1179045F8028,アリピプラゾール,１ｍｇ１錠,,,,エビリファイ錠１ｍｇ,大塚製薬,,先発品,○,22.60 ,,
内用薬,1179045F8036,アリピプラゾール,１ｍｇ１錠,,,,アリピプラゾール錠１ｍｇ「サワイ」,沢井製薬,後発品,,,5.90 ,,R4.6.17収載
内用薬,1179045F9016,アリピプラゾール,２４ｍｇ１錠,,,,アリピプラゾール２４ｍｇ錠,,後発品,,,59.60 ,,
内用薬,1179045S1021,アリピプラゾール,０．１％１ｍＬ,,,,エビリファイ内用液０．１％,大塚製薬,,先発品,,48.90 ,,
内用薬,1179045S2028,アリピプラゾール,０．１％３ｍＬ１包,,,,アリピプラゾール内用液分包３ｍｇ「武田テバ」,武田テバファーマ,後発品,,,41.10 ,R5.3.31まで,
内用薬,1179045S2036,アリピプラゾール,０．１％３ｍＬ１包,,,,アリピプラゾール内用液分包３ｍｇ「ニプロ」,ニプロ,後発品,,,41.10 ,,
内用薬,1179045S2044,アリピプラゾール,０．１％３ｍＬ１包,,,,アリピプラゾール内用液分包３ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,41.10 ,,
内用薬,1179045S2052,アリピプラゾール,０．１％３ｍＬ１包,,,,アリピプラゾール内用液３ｍｇ分包「サワイ」,沢井製薬,後発品,,,41.10 ,,
内用薬,1179045S2060,アリピプラゾール,０．１％３ｍＬ１包,,,,アリピプラゾール内用液３ｍｇ分包「タカタ」,高田製薬,後発品,,,41.10 ,,
内用薬,1179045S2079,アリピプラゾール,０．１％３ｍＬ１包,,,,アリピプラゾール内用液３ｍｇ分包「トーワ」,東和薬品,後発品,,,41.10 ,,
内用薬,1179045S3024,アリピプラゾール,０．１％６ｍＬ１包,,,,アリピプラゾール内用液分包６ｍｇ「武田テバ」,武田テバファーマ,後発品,,,79.50 ,R5.3.31まで,
内用薬,1179045S3032,アリピプラゾール,０．１％６ｍＬ１包,,,,アリピプラゾール内用液分包６ｍｇ「ニプロ」,ニプロ,後発品,,,79.50 ,,
内用薬,1179045S3040,アリピプラゾール,０．１％６ｍＬ１包,,,,アリピプラゾール内用液分包６ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,79.50 ,,
内用薬,1179045S3059,アリピプラゾール,０．１％６ｍＬ１包,,,,アリピプラゾール内用液６ｍｇ分包「サワイ」,沢井製薬,後発品,,,79.50 ,,
内用薬,1179045S3067,アリピプラゾール,０．１％６ｍＬ１包,,,,アリピプラゾール内用液６ｍｇ分包「タカタ」,高田製薬,後発品,,,79.50 ,,
内用薬,1179045S3075,アリピプラゾール,０．１％６ｍＬ１包,,,,アリピプラゾール内用液６ｍｇ分包「トーワ」,東和薬品,後発品,,,79.50 ,,
内用薬,1179045S4020,アリピプラゾール,０．１％１２ｍＬ１包,,,,アリピプラゾール内用液分包１２ｍｇ「武田テバ」,武田テバファーマ,後発品,,,166.10 ,R5.3.31まで,
内用薬,1179045S4039,アリピプラゾール,０．１％１２ｍＬ１包,,,,アリピプラゾール内用液分包１２ｍｇ「ニプロ」,ニプロ,後発品,,,166.10 ,,
内用薬,1179045S4047,アリピプラゾール,０．１％１２ｍＬ１包,,,,アリピプラゾール内用液分包１２ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,166.10 ,,
内用薬,1179045S4055,アリピプラゾール,０．１％１２ｍＬ１包,,,,アリピプラゾール内用液１２ｍｇ分包「サワイ」,沢井製薬,後発品,,,166.10 ,,
内用薬,1179045S4063,アリピプラゾール,０．１％１２ｍＬ１包,,,,アリピプラゾール内用液１２ｍｇ分包「タカタ」,高田製薬,後発品,,,166.10 ,,
内用薬,1179045S4071,アリピプラゾール,０．１％１２ｍＬ１包,,,,アリピプラゾール内用液１２ｍｇ分包「トーワ」,東和薬品,後発品,,,166.10 ,,
内用薬,1179045S5027,アリピプラゾール,０．１％１ｍＬ１包,,,,アリピプラゾール内用液１ｍｇ分包「サワイ」,沢井製薬,後発品,,,14.40 ,,R4.6.17収載
内用薬,1179046F1010,セルトラリン塩酸塩,２５ｍｇ１錠,,,,セルトラリン塩酸塩２５ｍｇ錠,,後発品,,,12.50 ,,
内用薬,1179046F1028,セルトラリン塩酸塩,２５ｍｇ１錠,,,,ジェイゾロフト錠２５ｍｇ,ヴィアトリス製薬,,先発品,○,63.90 ,,
内用薬,1179046F1044,セルトラリン塩酸塩,２５ｍｇ１錠,,,,セルトラリン錠２５ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,19.80 ,,
内用薬,1179046F1087,セルトラリン塩酸塩,２５ｍｇ１錠,,,,セルトラリン錠２５ｍｇ「科研」,ダイト,後発品,,,19.80 ,,
